scope,difficulty,comparison,n,delta_pts,ci_low,ci_high,p_two_sided
all,easy,hybrid_deepseek - jina_deepseek_reranked,1014,0.0,-1.87,1.87,1.0
all,hard,hybrid_deepseek - jina_deepseek_reranked,496,0.0,-3.63,3.63,1.0
all,both,hybrid_deepseek - jina_deepseek_reranked,1510,0.0,-1.79,1.72,1.0
computer_science,easy,hybrid_deepseek - jina_deepseek_reranked,197,1.02,-1.52,3.55,0.5253
computer_science,hard,hybrid_deepseek - jina_deepseek_reranked,18,-11.11,-33.33,11.11,0.4308
computer_science,both,hybrid_deepseek - jina_deepseek_reranked,215,0.0,-2.79,2.79,1.0
finance_en,easy,hybrid_deepseek - jina_deepseek_reranked,173,2.31,-3.47,8.67,0.5168
finance_en,hard,hybrid_deepseek - jina_deepseek_reranked,136,2.94,-4.41,10.29,0.5017
finance_en,both,hybrid_deepseek - jina_deepseek_reranked,309,2.59,-2.27,7.44,0.3176
pharmaceuticals,easy,hybrid_deepseek - jina_deepseek_reranked,249,1.61,-2.01,5.22,0.4504
pharmaceuticals,hard,hybrid_deepseek - jina_deepseek_reranked,115,-0.87,-8.7,6.09,0.907
pharmaceuticals,both,hybrid_deepseek - jina_deepseek_reranked,364,0.82,-2.47,4.4,0.7004
physics,easy,hybrid_deepseek - jina_deepseek_reranked,265,-0.75,-4.15,2.64,0.7406
physics,hard,hybrid_deepseek - jina_deepseek_reranked,37,2.7,-10.81,16.22,0.8452
physics,both,hybrid_deepseek - jina_deepseek_reranked,302,-0.33,-3.64,2.98,0.9255
finance_fr,easy,hybrid_deepseek - jina_deepseek_reranked,130,-6.15,-12.31,0.0,0.0591
finance_fr,hard,hybrid_deepseek - jina_deepseek_reranked,190,-1.05,-6.84,4.74,0.7827
finance_fr,both,hybrid_deepseek - jina_deepseek_reranked,320,-3.12,-7.5,0.94,0.1604
all,easy,hybrid_deepseek - hybrid_nemo,1014,1.97,0.3,3.65,0.023
all,hard,hybrid_deepseek - hybrid_nemo,496,0.4,-2.42,3.23,0.8407
all,both,hybrid_deepseek - hybrid_nemo,1510,1.46,0.0,2.98,0.0607
computer_science,easy,hybrid_deepseek - hybrid_nemo,197,3.05,0.51,6.09,0.0501
computer_science,hard,hybrid_deepseek - hybrid_nemo,18,-5.56,-16.67,0.0,0.6173
computer_science,both,hybrid_deepseek - hybrid_nemo,215,2.33,-0.47,5.12,0.1272
finance_en,easy,hybrid_deepseek - hybrid_nemo,173,-1.16,-6.36,4.05,0.7412
finance_en,hard,hybrid_deepseek - hybrid_nemo,136,5.15,0.0,11.03,0.0852
finance_en,both,hybrid_deepseek - hybrid_nemo,309,1.62,-2.27,5.5,0.4525
pharmaceuticals,easy,hybrid_deepseek - hybrid_nemo,249,4.82,1.2,8.43,0.0155
pharmaceuticals,hard,hybrid_deepseek - hybrid_nemo,115,-6.09,-11.3,-0.87,0.0422
pharmaceuticals,both,hybrid_deepseek - hybrid_nemo,364,1.37,-1.65,4.67,0.435
physics,easy,hybrid_deepseek - hybrid_nemo,265,1.51,-1.13,4.53,0.3453
physics,hard,hybrid_deepseek - hybrid_nemo,37,13.51,-2.7,29.73,0.159
physics,both,hybrid_deepseek - hybrid_nemo,302,2.98,-0.33,6.29,0.0844
finance_fr,easy,hybrid_deepseek - hybrid_nemo,130,0.0,-5.38,5.38,1.0
finance_fr,hard,hybrid_deepseek - hybrid_nemo,190,-1.05,-5.26,3.16,0.7062
finance_fr,both,hybrid_deepseek - hybrid_nemo,320,-0.63,-3.75,2.5,0.7757
all,easy,jina_nemo_reranked - hybrid_nemo,1014,2.76,0.79,4.73,0.0077
all,hard,jina_nemo_reranked - hybrid_nemo,496,2.02,-2.02,6.05,0.3549
all,both,jina_nemo_reranked - hybrid_nemo,1510,2.52,0.66,4.37,0.0087
computer_science,easy,jina_nemo_reranked - hybrid_nemo,197,0.51,-3.55,4.57,0.8926
computer_science,hard,jina_nemo_reranked - hybrid_nemo,18,-11.11,-33.33,11.11,0.4353
computer_science,both,jina_nemo_reranked - hybrid_nemo,215,-0.47,-4.65,3.72,0.9089
finance_en,easy,jina_nemo_reranked - hybrid_nemo,173,2.31,-3.47,8.09,0.472
finance_en,hard,jina_nemo_reranked - hybrid_nemo,136,5.15,-2.21,12.5,0.1912
finance_en,both,jina_nemo_reranked - hybrid_nemo,309,3.56,-0.97,7.77,0.1267
pharmaceuticals,easy,jina_nemo_reranked - hybrid_nemo,249,3.21,-1.2,7.63,0.1865
pharmaceuticals,hard,jina_nemo_reranked - hybrid_nemo,115,-5.22,-13.04,2.61,0.2337
pharmaceuticals,both,jina_nemo_reranked - hybrid_nemo,364,0.55,-3.3,4.4,0.8324
physics,easy,jina_nemo_reranked - hybrid_nemo,265,3.02,0.0,6.04,0.0735
physics,hard,jina_nemo_reranked - hybrid_nemo,37,21.62,2.7,40.54,0.045
physics,both,jina_nemo_reranked - hybrid_nemo,302,5.3,1.66,8.94,0.0073
finance_fr,easy,jina_nemo_reranked - hybrid_nemo,130,5.38,-0.77,11.54,0.1154
finance_fr,hard,jina_nemo_reranked - hybrid_nemo,190,1.58,-4.21,7.89,0.6642
finance_fr,both,jina_nemo_reranked - hybrid_nemo,320,3.12,-1.25,7.5,0.1861
all,easy,jina_nemo_reranked - hybrid_deepseek,1014,0.79,-1.08,2.66,0.4399
all,hard,jina_nemo_reranked - hybrid_deepseek,496,1.61,-2.22,5.44,0.4508
all,both,jina_nemo_reranked - hybrid_deepseek,1510,1.06,-0.73,2.85,0.263
computer_science,easy,jina_nemo_reranked - hybrid_deepseek,197,-2.54,-5.58,0.51,0.1289
computer_science,hard,jina_nemo_reranked - hybrid_deepseek,18,-5.56,-22.22,11.11,0.7655
computer_science,both,jina_nemo_reranked - hybrid_deepseek,215,-2.79,-6.05,0.0,0.1046
finance_en,easy,jina_nemo_reranked - hybrid_deepseek,173,3.47,-1.73,9.25,0.2561
finance_en,hard,jina_nemo_reranked - hybrid_deepseek,136,0.0,-7.35,7.35,1.0
finance_en,both,jina_nemo_reranked - hybrid_deepseek,309,1.94,-2.59,6.47,0.4292
pharmaceuticals,easy,jina_nemo_reranked - hybrid_deepseek,249,-1.61,-5.62,2.01,0.48
pharmaceuticals,hard,jina_nemo_reranked - hybrid_deepseek,115,0.87,-6.96,8.7,0.9133
pharmaceuticals,both,jina_nemo_reranked - hybrid_deepseek,364,-0.82,-4.4,2.75,0.7161
physics,easy,jina_nemo_reranked - hybrid_deepseek,265,1.51,-1.89,4.91,0.4369
physics,hard,jina_nemo_reranked - hybrid_deepseek,37,8.11,-8.11,24.32,0.3917
physics,both,jina_nemo_reranked - hybrid_deepseek,302,2.32,-0.99,5.96,0.2229
finance_fr,easy,jina_nemo_reranked - hybrid_deepseek,130,5.38,-0.77,11.54,0.1111
finance_fr,hard,jina_nemo_reranked - hybrid_deepseek,190,2.63,-3.68,8.95,0.4484
finance_fr,both,jina_nemo_reranked - hybrid_deepseek,320,3.75,-0.63,8.12,0.1108
